"Correlation_Id","Dispatch_Id","Agent_Id","Queue_Id","Process_Id","Thread_Id","Grid_Size","Kernel_Id","Kernel_Name","Workgroup_Size","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Counter_Name","Counter_Value","Start_Timestamp","End_Timestamp"
202,202,"Agent 4",1,3903961,3903961,262144,13,"void blockscale_panel::gemm_a8w8_mxfp8_scale_kernel<WholeKScaleTraits<true> >(opus_gemm_scale_kargs)",256,152064,0,232,0,112,"SQ_INSTS_BRANCH",94208.000000,939039824750779,939039825121141
202,202,"Agent 4",1,3903961,3903961,262144,13,"void blockscale_panel::gemm_a8w8_mxfp8_scale_kernel<WholeKScaleTraits<true> >(opus_gemm_scale_kargs)",256,152064,0,232,0,112,"SQ_INSTS_MFMA",16777216.000000,939039824750779,939039825121141
202,202,"Agent 4",1,3903961,3903961,262144,13,"void blockscale_panel::gemm_a8w8_mxfp8_scale_kernel<WholeKScaleTraits<true> >(opus_gemm_scale_kargs)",256,152064,0,232,0,112,"SQ_INSTS_SALU",6592512.000000,939039824750779,939039825121141
202,202,"Agent 4",1,3903961,3903961,262144,13,"void blockscale_panel::gemm_a8w8_mxfp8_scale_kernel<WholeKScaleTraits<true> >(opus_gemm_scale_kargs)",256,152064,0,232,0,112,"SQ_INSTS_VALU",20385792.000000,939039824750779,939039825121141
202,202,"Agent 4",1,3903961,3903961,262144,13,"void blockscale_panel::gemm_a8w8_mxfp8_scale_kernel<WholeKScaleTraits<true> >(opus_gemm_scale_kargs)",256,152064,0,232,0,112,"SQ_VALU_MFMA_BUSY_CYCLES",536870912.000000,939039824750779,939039825121141
202,202,"Agent 4",1,3903961,3903961,262144,13,"void blockscale_panel::gemm_a8w8_mxfp8_scale_kernel<WholeKScaleTraits<true> >(opus_gemm_scale_kargs)",256,152064,0,232,0,112,"SQ_WAIT_ANY",22871451.000000,939039824750779,939039825121141
203,203,"Agent 4",1,3903961,3903961,262144,13,"void blockscale_panel::gemm_a8w8_mxfp8_scale_kernel<WholeKScaleTraits<true> >(opus_gemm_scale_kargs)",256,152064,0,232,0,112,"SQ_INSTS_BRANCH",94208.000000,939039825219062,939039825588624
203,203,"Agent 4",1,3903961,3903961,262144,13,"void blockscale_panel::gemm_a8w8_mxfp8_scale_kernel<WholeKScaleTraits<true> >(opus_gemm_scale_kargs)",256,152064,0,232,0,112,"SQ_INSTS_MFMA",16777216.000000,939039825219062,939039825588624
203,203,"Agent 4",1,3903961,3903961,262144,13,"void blockscale_panel::gemm_a8w8_mxfp8_scale_kernel<WholeKScaleTraits<true> >(opus_gemm_scale_kargs)",256,152064,0,232,0,112,"SQ_INSTS_SALU",6592512.000000,939039825219062,939039825588624
203,203,"Agent 4",1,3903961,3903961,262144,13,"void blockscale_panel::gemm_a8w8_mxfp8_scale_kernel<WholeKScaleTraits<true> >(opus_gemm_scale_kargs)",256,152064,0,232,0,112,"SQ_INSTS_VALU",20385792.000000,939039825219062,939039825588624
203,203,"Agent 4",1,3903961,3903961,262144,13,"void blockscale_panel::gemm_a8w8_mxfp8_scale_kernel<WholeKScaleTraits<true> >(opus_gemm_scale_kargs)",256,152064,0,232,0,112,"SQ_VALU_MFMA_BUSY_CYCLES",536870912.000000,939039825219062,939039825588624
203,203,"Agent 4",1,3903961,3903961,262144,13,"void blockscale_panel::gemm_a8w8_mxfp8_scale_kernel<WholeKScaleTraits<true> >(opus_gemm_scale_kargs)",256,152064,0,232,0,112,"SQ_WAIT_ANY",23807793.000000,939039825219062,939039825588624
204,204,"Agent 4",1,3903961,3903961,262144,13,"void blockscale_panel::gemm_a8w8_mxfp8_scale_kernel<WholeKScaleTraits<true> >(opus_gemm_scale_kargs)",256,152064,0,232,0,112,"SQ_INSTS_BRANCH",94208.000000,939039825680464,939039826052786
204,204,"Agent 4",1,3903961,3903961,262144,13,"void blockscale_panel::gemm_a8w8_mxfp8_scale_kernel<WholeKScaleTraits<true> >(opus_gemm_scale_kargs)",256,152064,0,232,0,112,"SQ_INSTS_MFMA",16777216.000000,939039825680464,939039826052786
204,204,"Agent 4",1,3903961,3903961,262144,13,"void blockscale_panel::gemm_a8w8_mxfp8_scale_kernel<WholeKScaleTraits<true> >(opus_gemm_scale_kargs)",256,152064,0,232,0,112,"SQ_INSTS_SALU",6592512.000000,939039825680464,939039826052786
204,204,"Agent 4",1,3903961,3903961,262144,13,"void blockscale_panel::gemm_a8w8_mxfp8_scale_kernel<WholeKScaleTraits<true> >(opus_gemm_scale_kargs)",256,152064,0,232,0,112,"SQ_INSTS_VALU",20385792.000000,939039825680464,939039826052786
204,204,"Agent 4",1,3903961,3903961,262144,13,"void blockscale_panel::gemm_a8w8_mxfp8_scale_kernel<WholeKScaleTraits<true> >(opus_gemm_scale_kargs)",256,152064,0,232,0,112,"SQ_VALU_MFMA_BUSY_CYCLES",536870912.000000,939039825680464,939039826052786
204,204,"Agent 4",1,3903961,3903961,262144,13,"void blockscale_panel::gemm_a8w8_mxfp8_scale_kernel<WholeKScaleTraits<true> >(opus_gemm_scale_kargs)",256,152064,0,232,0,112,"SQ_WAIT_ANY",23524308.000000,939039825680464,939039826052786
