"Correlation_Id","Dispatch_Id","Agent_Id","Queue_Id","Process_Id","Thread_Id","Grid_Size","Kernel_Id","Kernel_Name","Workgroup_Size","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Counter_Name","Counter_Value","Start_Timestamp","End_Timestamp"
202,202,"Agent 4",1,3732811,3732811,262144,11,"void gemm_a8w8_mxfp8_scale_kernel<FourWaveTraits<true> >(opus_gemm_scale_kargs)",256,139264,0,232,0,112,"SQ_INSTS_BRANCH",90112.000000,888961347236723,888961347660486
202,202,"Agent 4",1,3732811,3732811,262144,11,"void gemm_a8w8_mxfp8_scale_kernel<FourWaveTraits<true> >(opus_gemm_scale_kargs)",256,139264,0,232,0,112,"SQ_INSTS_MFMA",16777216.000000,888961347236723,888961347660486
202,202,"Agent 4",1,3732811,3732811,262144,11,"void gemm_a8w8_mxfp8_scale_kernel<FourWaveTraits<true> >(opus_gemm_scale_kargs)",256,139264,0,232,0,112,"SQ_INSTS_SALU",7634944.000000,888961347236723,888961347660486
202,202,"Agent 4",1,3732811,3732811,262144,11,"void gemm_a8w8_mxfp8_scale_kernel<FourWaveTraits<true> >(opus_gemm_scale_kargs)",256,139264,0,232,0,112,"SQ_INSTS_VALU",20099072.000000,888961347236723,888961347660486
202,202,"Agent 4",1,3732811,3732811,262144,11,"void gemm_a8w8_mxfp8_scale_kernel<FourWaveTraits<true> >(opus_gemm_scale_kargs)",256,139264,0,232,0,112,"SQ_VALU_MFMA_BUSY_CYCLES",536870912.000000,888961347236723,888961347660486
202,202,"Agent 4",1,3732811,3732811,262144,11,"void gemm_a8w8_mxfp8_scale_kernel<FourWaveTraits<true> >(opus_gemm_scale_kargs)",256,139264,0,232,0,112,"SQ_WAIT_ANY",74792607.000000,888961347236723,888961347660486
203,203,"Agent 4",1,3732811,3732811,262144,11,"void gemm_a8w8_mxfp8_scale_kernel<FourWaveTraits<true> >(opus_gemm_scale_kargs)",256,139264,0,232,0,112,"SQ_INSTS_BRANCH",90112.000000,888961347750046,888961348175408
203,203,"Agent 4",1,3732811,3732811,262144,11,"void gemm_a8w8_mxfp8_scale_kernel<FourWaveTraits<true> >(opus_gemm_scale_kargs)",256,139264,0,232,0,112,"SQ_INSTS_MFMA",16777216.000000,888961347750046,888961348175408
203,203,"Agent 4",1,3732811,3732811,262144,11,"void gemm_a8w8_mxfp8_scale_kernel<FourWaveTraits<true> >(opus_gemm_scale_kargs)",256,139264,0,232,0,112,"SQ_INSTS_SALU",7634944.000000,888961347750046,888961348175408
203,203,"Agent 4",1,3732811,3732811,262144,11,"void gemm_a8w8_mxfp8_scale_kernel<FourWaveTraits<true> >(opus_gemm_scale_kargs)",256,139264,0,232,0,112,"SQ_INSTS_VALU",20099072.000000,888961347750046,888961348175408
203,203,"Agent 4",1,3732811,3732811,262144,11,"void gemm_a8w8_mxfp8_scale_kernel<FourWaveTraits<true> >(opus_gemm_scale_kargs)",256,139264,0,232,0,112,"SQ_VALU_MFMA_BUSY_CYCLES",536870912.000000,888961347750046,888961348175408
203,203,"Agent 4",1,3732811,3732811,262144,11,"void gemm_a8w8_mxfp8_scale_kernel<FourWaveTraits<true> >(opus_gemm_scale_kargs)",256,139264,0,232,0,112,"SQ_WAIT_ANY",76275283.000000,888961347750046,888961348175408
204,204,"Agent 4",1,3732811,3732811,262144,11,"void gemm_a8w8_mxfp8_scale_kernel<FourWaveTraits<true> >(opus_gemm_scale_kargs)",256,139264,0,232,0,112,"SQ_INSTS_BRANCH",90112.000000,888961348263249,888961348688811
204,204,"Agent 4",1,3732811,3732811,262144,11,"void gemm_a8w8_mxfp8_scale_kernel<FourWaveTraits<true> >(opus_gemm_scale_kargs)",256,139264,0,232,0,112,"SQ_INSTS_MFMA",16777216.000000,888961348263249,888961348688811
204,204,"Agent 4",1,3732811,3732811,262144,11,"void gemm_a8w8_mxfp8_scale_kernel<FourWaveTraits<true> >(opus_gemm_scale_kargs)",256,139264,0,232,0,112,"SQ_INSTS_SALU",7634944.000000,888961348263249,888961348688811
204,204,"Agent 4",1,3732811,3732811,262144,11,"void gemm_a8w8_mxfp8_scale_kernel<FourWaveTraits<true> >(opus_gemm_scale_kargs)",256,139264,0,232,0,112,"SQ_INSTS_VALU",20099072.000000,888961348263249,888961348688811
204,204,"Agent 4",1,3732811,3732811,262144,11,"void gemm_a8w8_mxfp8_scale_kernel<FourWaveTraits<true> >(opus_gemm_scale_kargs)",256,139264,0,232,0,112,"SQ_VALU_MFMA_BUSY_CYCLES",536870912.000000,888961348263249,888961348688811
204,204,"Agent 4",1,3732811,3732811,262144,11,"void gemm_a8w8_mxfp8_scale_kernel<FourWaveTraits<true> >(opus_gemm_scale_kargs)",256,139264,0,232,0,112,"SQ_WAIT_ANY",75746375.000000,888961348263249,888961348688811
