round	position	tag	ms	tflops	timestamp_ns
1	1	selected	0.455634296	2413.145009997228	1789023139492560874
1	2	selected_aa	0.459718555	2391.7060032001536	1789023140180305693
1	3	final	0.459659755	2392.0119519186533	1789023140871174765
2	1	selected_aa	0.459280163	2393.9889338873973	1789023141560603964
2	2	final	0.454161525	2420.9704416859176	1789023142252226328
2	3	selected	0.454152942	2421.0161954119853	1789023142939729594
3	1	final	0.458382636	2398.6764362862996	1789023143639349930
3	2	selected	0.452510566	2429.803214309917	1789023144321037241
3	3	selected_aa	0.452808946	2428.2020871910954	1789023145012871112
4	1	final	0.452670664	2428.943855252789	1789023145707121283
4	2	selected_aa	0.454155475	2421.00269247222	1789023146409663708
4	3	selected	0.452370346	2430.556373772564	1789023147114757175
5	1	selected	0.452841789	2428.025978353336	1789023147864461607
5	2	final	0.457211107	2404.822654004335	1789023148567306216
5	3	selected_aa	0.460172743	2389.345402354698	1789023149286111578
