"Correlation_Id","Dispatch_Id","Agent_Id","Queue_Id","Process_Id","Thread_Id","Grid_Size","Kernel_Id","Kernel_Name","Workgroup_Size","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Counter_Name","Counter_Value","Start_Timestamp","End_Timestamp"
202,202,"Agent 4",1,3732938,3732938,262144,11,"void gemm_a8w8_mxfp8_scale_kernel<FourWaveTraits<true> >(opus_gemm_scale_kargs)",256,156160,0,232,0,112,"SQ_INSTS_BRANCH",159744.000000,888964904197536,888964904570338
202,202,"Agent 4",1,3732938,3732938,262144,11,"void gemm_a8w8_mxfp8_scale_kernel<FourWaveTraits<true> >(opus_gemm_scale_kargs)",256,156160,0,232,0,112,"SQ_INSTS_MFMA",16777216.000000,888964904197536,888964904570338
202,202,"Agent 4",1,3732938,3732938,262144,11,"void gemm_a8w8_mxfp8_scale_kernel<FourWaveTraits<true> >(opus_gemm_scale_kargs)",256,156160,0,232,0,112,"SQ_INSTS_SALU",6715392.000000,888964904197536,888964904570338
202,202,"Agent 4",1,3732938,3732938,262144,11,"void gemm_a8w8_mxfp8_scale_kernel<FourWaveTraits<true> >(opus_gemm_scale_kargs)",256,156160,0,232,0,112,"SQ_INSTS_VALU",20209664.000000,888964904197536,888964904570338
202,202,"Agent 4",1,3732938,3732938,262144,11,"void gemm_a8w8_mxfp8_scale_kernel<FourWaveTraits<true> >(opus_gemm_scale_kargs)",256,156160,0,232,0,112,"SQ_VALU_MFMA_BUSY_CYCLES",536870912.000000,888964904197536,888964904570338
202,202,"Agent 4",1,3732938,3732938,262144,11,"void gemm_a8w8_mxfp8_scale_kernel<FourWaveTraits<true> >(opus_gemm_scale_kargs)",256,156160,0,232,0,112,"SQ_WAIT_ANY",26530750.000000,888964904197536,888964904570338
203,203,"Agent 4",1,3732938,3732938,262144,11,"void gemm_a8w8_mxfp8_scale_kernel<FourWaveTraits<true> >(opus_gemm_scale_kargs)",256,156160,0,232,0,112,"SQ_INSTS_BRANCH",159744.000000,888964904657018,888964905028660
203,203,"Agent 4",1,3732938,3732938,262144,11,"void gemm_a8w8_mxfp8_scale_kernel<FourWaveTraits<true> >(opus_gemm_scale_kargs)",256,156160,0,232,0,112,"SQ_INSTS_MFMA",16777216.000000,888964904657018,888964905028660
203,203,"Agent 4",1,3732938,3732938,262144,11,"void gemm_a8w8_mxfp8_scale_kernel<FourWaveTraits<true> >(opus_gemm_scale_kargs)",256,156160,0,232,0,112,"SQ_INSTS_SALU",6715392.000000,888964904657018,888964905028660
203,203,"Agent 4",1,3732938,3732938,262144,11,"void gemm_a8w8_mxfp8_scale_kernel<FourWaveTraits<true> >(opus_gemm_scale_kargs)",256,156160,0,232,0,112,"SQ_INSTS_VALU",20209664.000000,888964904657018,888964905028660
203,203,"Agent 4",1,3732938,3732938,262144,11,"void gemm_a8w8_mxfp8_scale_kernel<FourWaveTraits<true> >(opus_gemm_scale_kargs)",256,156160,0,232,0,112,"SQ_VALU_MFMA_BUSY_CYCLES",536870912.000000,888964904657018,888964905028660
203,203,"Agent 4",1,3732938,3732938,262144,11,"void gemm_a8w8_mxfp8_scale_kernel<FourWaveTraits<true> >(opus_gemm_scale_kargs)",256,156160,0,232,0,112,"SQ_WAIT_ANY",27796249.000000,888964904657018,888964905028660
204,204,"Agent 4",1,3732938,3732938,262144,11,"void gemm_a8w8_mxfp8_scale_kernel<FourWaveTraits<true> >(opus_gemm_scale_kargs)",256,156160,0,232,0,112,"SQ_INSTS_BRANCH",159744.000000,888964905094660,888964905467542
204,204,"Agent 4",1,3732938,3732938,262144,11,"void gemm_a8w8_mxfp8_scale_kernel<FourWaveTraits<true> >(opus_gemm_scale_kargs)",256,156160,0,232,0,112,"SQ_INSTS_MFMA",16777216.000000,888964905094660,888964905467542
204,204,"Agent 4",1,3732938,3732938,262144,11,"void gemm_a8w8_mxfp8_scale_kernel<FourWaveTraits<true> >(opus_gemm_scale_kargs)",256,156160,0,232,0,112,"SQ_INSTS_SALU",6715392.000000,888964905094660,888964905467542
204,204,"Agent 4",1,3732938,3732938,262144,11,"void gemm_a8w8_mxfp8_scale_kernel<FourWaveTraits<true> >(opus_gemm_scale_kargs)",256,156160,0,232,0,112,"SQ_INSTS_VALU",20209664.000000,888964905094660,888964905467542
204,204,"Agent 4",1,3732938,3732938,262144,11,"void gemm_a8w8_mxfp8_scale_kernel<FourWaveTraits<true> >(opus_gemm_scale_kargs)",256,156160,0,232,0,112,"SQ_VALU_MFMA_BUSY_CYCLES",536870912.000000,888964905094660,888964905467542
204,204,"Agent 4",1,3732938,3732938,262144,11,"void gemm_a8w8_mxfp8_scale_kernel<FourWaveTraits<true> >(opus_gemm_scale_kargs)",256,156160,0,232,0,112,"SQ_WAIT_ANY",27814999.000000,888964905094660,888964905467542
