round	position	tag	ms
1	1	ref	0.4063
1	2	zero_first	0.4016
1	3	zero_first	0.4031
1	4	ref	0.4075
2	1	zero_first	0.3954
2	2	ref	0.4062
2	3	ref	0.4074
2	4	zero_first	0.4064
3	1	ref	0.4110
3	2	zero_first	0.4040
3	3	zero_first	0.4066
3	4	ref	0.4097
4	1	zero_first	0.4009
4	2	ref	0.4065
4	3	ref	0.4098
4	4	zero_first	0.4022
