"Correlation_Id","Dispatch_Id","Agent_Id","Queue_Id","Process_Id","Thread_Id","Grid_Size","Kernel_Id","Kernel_Name","Workgroup_Size","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Counter_Name","Counter_Value","Start_Timestamp","End_Timestamp"
202,202,"Agent 4",1,3910738,3910738,262144,13,"void blockscale_panel::gemm_a8w8_mxfp8_scale_kernel<WholeKScaleTraits<true> >(opus_gemm_scale_kargs)",256,152064,0,228,0,112,"SQ_INSTS_BRANCH",1691648.000000,939914271960267,939914272344429
202,202,"Agent 4",1,3910738,3910738,262144,13,"void blockscale_panel::gemm_a8w8_mxfp8_scale_kernel<WholeKScaleTraits<true> >(opus_gemm_scale_kargs)",256,152064,0,228,0,112,"SQ_INSTS_MFMA",16777216.000000,939914271960267,939914272344429
202,202,"Agent 4",1,3910738,3910738,262144,13,"void blockscale_panel::gemm_a8w8_mxfp8_scale_kernel<WholeKScaleTraits<true> >(opus_gemm_scale_kargs)",256,152064,0,228,0,112,"SQ_INSTS_SALU",11831296.000000,939914271960267,939914272344429
202,202,"Agent 4",1,3910738,3910738,262144,13,"void blockscale_panel::gemm_a8w8_mxfp8_scale_kernel<WholeKScaleTraits<true> >(opus_gemm_scale_kargs)",256,152064,0,228,0,112,"SQ_INSTS_VALU",21364736.000000,939914271960267,939914272344429
202,202,"Agent 4",1,3910738,3910738,262144,13,"void blockscale_panel::gemm_a8w8_mxfp8_scale_kernel<WholeKScaleTraits<true> >(opus_gemm_scale_kargs)",256,152064,0,228,0,112,"SQ_VALU_MFMA_BUSY_CYCLES",536870912.000000,939914271960267,939914272344429
202,202,"Agent 4",1,3910738,3910738,262144,13,"void blockscale_panel::gemm_a8w8_mxfp8_scale_kernel<WholeKScaleTraits<true> >(opus_gemm_scale_kargs)",256,152064,0,228,0,112,"SQ_WAIT_ANY",54225903.000000,939914271960267,939914272344429
203,203,"Agent 4",1,3910738,3910738,262144,13,"void blockscale_panel::gemm_a8w8_mxfp8_scale_kernel<WholeKScaleTraits<true> >(opus_gemm_scale_kargs)",256,152064,0,228,0,112,"SQ_INSTS_BRANCH",1691648.000000,939914272412709,939914272799071
203,203,"Agent 4",1,3910738,3910738,262144,13,"void blockscale_panel::gemm_a8w8_mxfp8_scale_kernel<WholeKScaleTraits<true> >(opus_gemm_scale_kargs)",256,152064,0,228,0,112,"SQ_INSTS_MFMA",16777216.000000,939914272412709,939914272799071
203,203,"Agent 4",1,3910738,3910738,262144,13,"void blockscale_panel::gemm_a8w8_mxfp8_scale_kernel<WholeKScaleTraits<true> >(opus_gemm_scale_kargs)",256,152064,0,228,0,112,"SQ_INSTS_SALU",11831296.000000,939914272412709,939914272799071
203,203,"Agent 4",1,3910738,3910738,262144,13,"void blockscale_panel::gemm_a8w8_mxfp8_scale_kernel<WholeKScaleTraits<true> >(opus_gemm_scale_kargs)",256,152064,0,228,0,112,"SQ_INSTS_VALU",21364736.000000,939914272412709,939914272799071
203,203,"Agent 4",1,3910738,3910738,262144,13,"void blockscale_panel::gemm_a8w8_mxfp8_scale_kernel<WholeKScaleTraits<true> >(opus_gemm_scale_kargs)",256,152064,0,228,0,112,"SQ_VALU_MFMA_BUSY_CYCLES",536870912.000000,939914272412709,939914272799071
203,203,"Agent 4",1,3910738,3910738,262144,13,"void blockscale_panel::gemm_a8w8_mxfp8_scale_kernel<WholeKScaleTraits<true> >(opus_gemm_scale_kargs)",256,152064,0,228,0,112,"SQ_WAIT_ANY",54936018.000000,939914272412709,939914272799071
204,204,"Agent 4",1,3910738,3910738,262144,13,"void blockscale_panel::gemm_a8w8_mxfp8_scale_kernel<WholeKScaleTraits<true> >(opus_gemm_scale_kargs)",256,152064,0,228,0,112,"SQ_INSTS_BRANCH",1691648.000000,939914272856592,939914273240714
204,204,"Agent 4",1,3910738,3910738,262144,13,"void blockscale_panel::gemm_a8w8_mxfp8_scale_kernel<WholeKScaleTraits<true> >(opus_gemm_scale_kargs)",256,152064,0,228,0,112,"SQ_INSTS_MFMA",16777216.000000,939914272856592,939914273240714
204,204,"Agent 4",1,3910738,3910738,262144,13,"void blockscale_panel::gemm_a8w8_mxfp8_scale_kernel<WholeKScaleTraits<true> >(opus_gemm_scale_kargs)",256,152064,0,228,0,112,"SQ_INSTS_SALU",11831296.000000,939914272856592,939914273240714
204,204,"Agent 4",1,3910738,3910738,262144,13,"void blockscale_panel::gemm_a8w8_mxfp8_scale_kernel<WholeKScaleTraits<true> >(opus_gemm_scale_kargs)",256,152064,0,228,0,112,"SQ_INSTS_VALU",21364736.000000,939914272856592,939914273240714
204,204,"Agent 4",1,3910738,3910738,262144,13,"void blockscale_panel::gemm_a8w8_mxfp8_scale_kernel<WholeKScaleTraits<true> >(opus_gemm_scale_kargs)",256,152064,0,228,0,112,"SQ_VALU_MFMA_BUSY_CYCLES",536870912.000000,939914272856592,939914273240714
204,204,"Agent 4",1,3910738,3910738,262144,13,"void blockscale_panel::gemm_a8w8_mxfp8_scale_kernel<WholeKScaleTraits<true> >(opus_gemm_scale_kargs)",256,152064,0,228,0,112,"SQ_WAIT_ANY",55751145.000000,939914272856592,939914273240714
